Date,11/13/2024 2:57:54 PM,
Project name,short,
Frame index,23,
Frame interval,1,s,
Vector count,X:,72,Y:,47,

Grid index,GridX,GridY,Measuring coordinatesX[mm],Measuring coordinatesY[mm],VelocityU[mm/s],VelocityV[mm/s],VelocityW[mm/s],Correlation coefficient,AveY,Standard Deviation,Valid Flag
89,17,2,630.362600,15.678240,-0.369988,2.598260,0.000000,0.440421,17.200000,14.429480,1,
90,18,2,672.615200,15.678240,-14.722020,1.163252,0.000000,0.648009,18.153750,15.254180,1,
91,19,2,714.867700,15.678240,-15.220280,-13.637480,0.000000,0.569734,19.993130,16.429490,1,
92,20,2,757.120200,15.678240,-,-,-,-,-,-,0,
93,21,2,799.372800,15.678240,0.060306,-13.632940,0.000000,0.577129,20.543750,16.883370,1,
94,22,2,841.625300,15.678240,-,-,-,-,-,-,0,
95,23,2,883.877900,15.678240,-,-,-,-,-,-,0,
96,24,2,926.130400,15.678240,-,-,-,-,-,-,0,
97,25,2,968.382900,15.678240,-,-,-,-,-,-,0,
98,26,2,1010.635000,15.678240,-,-,-,-,-,-,0,
99,27,2,1052.888000,15.678240,-,-,-,-,-,-,0,
100,28,2,1095.141000,15.678240,-,-,-,-,-,-,0,
101,29,2,1137.393000,15.678240,-,-,-,-,-,-,0,
102,30,2,1179.646000,15.678240,-32.807820,2.521476,0.000000,0.516744,20.451880,17.076230,1,
103,31,2,1221.898000,15.678240,-30.098280,2.621953,0.000000,0.578796,20.990630,17.810160,1,
104,32,2,1264.151000,15.678240,-30.520420,1.753966,0.000000,0.712513,21.532500,18.299120,1,
105,33,2,1306.403000,15.678240,-31.519660,2.970900,0.000000,0.528976,23.092500,19.125510,1,
106,34,2,1348.656000,15.678240,-19.493440,1.231565,0.000000,0.736692,19.926870,18.037230,1,
107,35,2,1390.908000,15.678240,-,-,-,-,-,-,0,
108,36,2,1433.161000,15.678240,-,-,-,-,-,-,0,
109,37,2,1475.413000,15.678240,-25.928880,0.510357,0.000000,0.640477,24.664380,20.767080,1,
